year,weeknum,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,update_date
2022,4,สมุทรปราการ,14088,48870,13998,48132,5,10,"2023-01-16 07:37:07"
2022,4,ปัตตานี,273,1503,273,1497,1,9,"2023-01-16 07:37:07"
2022,4,อุบลราชธานี,2913,22050,2910,22002,3,11,"2023-01-16 07:37:07"
2022,4,อุดรธานี,2229,9765,2229,9729,2,7,"2023-01-16 07:37:07"
2022,4,สุโขทัย,570,1485,570,1479,0,1,"2023-01-16 07:37:07"
2022,4,พะเยา,213,2241,213,2241,0,0,"2023-01-16 07:37:07"
2022,4,พังงา,1794,6030,1728,5535,0,2,"2023-01-16 07:37:07"
2022,4,แม่ฮ่องสอน,225,1194,225,1194,1,7,"2023-01-16 07:37:07"
2022,4,นนทบุรี,8298,26253,8268,26199,1,2,"2023-01-16 07:37:07"
2022,4,สกลนคร,495,3246,495,3240,1,1,"2023-01-16 07:37:07"
2022,4,ยโสธร,537,2346,534,2340,0,0,"2023-01-16 07:37:07"
2022,4,ลำปาง,306,2760,306,2757,2,6,"2023-01-16 07:37:07"
2022,4,กาญจนบุรี,1614,5325,1614,5322,2,7,"2023-01-16 07:37:07"
2022,4,อ่างทอง,342,1104,342,1104,1,2,"2023-01-16 07:37:07"
2022,4,ตาก,546,2706,534,2679,0,8,"2023-01-16 07:37:07"
2022,4,ขอนแก่น,4692,20793,4692,20751,2,9,"2023-01-16 07:37:07"
2022,4,ภูเก็ต,10449,39729,7665,29163,2,7,"2023-01-16 07:37:07"
2022,4,บุรีรัมย์,2061,9507,2061,9492,1,7,"2023-01-16 07:37:07"
2022,4,เพชรบูรณ์,882,3147,882,3138,2,5,"2023-01-16 07:37:07"
2022,4,ศรีสะเกษ,2826,8658,2823,8643,2,7,"2023-01-16 07:37:07"
2022,4,ลำพูน,261,1026,261,1023,0,0,"2023-01-16 07:37:07"
2022,4,สระแก้ว,1116,3768,1056,3666,2,4,"2023-01-16 07:37:07"
2022,4,กระบี่,1200,4494,1110,3948,1,6,"2023-01-16 07:37:07"
2022,4,นครราชสีมา,3108,10236,3108,10227,2,19,"2023-01-16 07:37:07"
2022,4,ชัยภูมิ,1242,3564,1242,3561,2,5,"2023-01-16 07:37:07"
2022,4,หนองคาย,1983,5208,1983,5205,2,2,"2023-01-16 07:37:07"
2022,4,เพชรบุรี,873,3162,870,3126,0,3,"2023-01-16 07:37:07"
2022,4,นครปฐม,2286,7191,2286,7191,1,3,"2023-01-16 07:37:07"
2022,4,น่าน,957,4218,957,4218,1,1,"2023-01-16 07:37:07"
2022,4,ประจวบคีรีขันธ์,1371,5646,1356,5364,1,3,"2023-01-16 07:37:07"
2022,4,กาฬสินธุ์,1173,4617,1173,4611,7,9,"2023-01-16 07:37:07"
2022,4,ตรัง,717,2895,717,2874,1,8,"2023-01-16 07:37:07"
2022,4,ปราจีนบุรี,1146,4005,1143,3999,3,7,"2023-01-16 07:37:07"
2022,4,จันทบุรี,1194,4392,1191,4383,0,4,"2023-01-16 07:37:07"
2022,4,มหาสารคาม,1545,6075,1545,6054,1,1,"2023-01-16 07:37:07"
2022,4,อุทัยธานี,306,1260,306,1260,0,3,"2023-01-16 07:37:07"
2022,5,อุทัยธานี,360,1620,360,1620,0,3,"2023-01-16 07:37:07"
2022,5,กาฬสินธุ์,1077,5694,1077,5688,9,18,"2023-01-16 07:37:07"
2022,5,ปราจีนบุรี,1581,5586,1581,5580,2,9,"2023-01-16 07:37:07"
2022,5,จันทบุรี,1557,5949,1557,5940,1,5,"2023-01-16 07:37:07"
